Name,personId,222_best,222_worldRank,333_best,333_worldRank,333bf_best,333bf_worldRank,333fm_best,333fm_worldRank,333ft_best,333ft_worldRank,333mbf_best,333mbf_worldRank,333oh_best,333oh_worldRank,444_best,444_worldRank,444bf_best,444bf_worldRank,555_best,555_worldRank,666_best,666_worldRank,777_best,777_worldRank,clock_best,clock_worldRank,minx_best,minx_worldRank,pyram_best,pyram_worldRank,skewb_best,skewb_worldRank,sq1_best,sq1_worldRank
Yiheng Wang (王艺衡),2019WANY36,0.5,17.0,3.1,1,,,,,,,,,11.0,969.0,23.9,230.0,,,77.9,5356.0,,,,,,,,,1.2,77.0,1.7,397.0,,
Tymon Kolasiński,2016KOLA02,0.6,45.0,3.7,9,184.3,5452.0,0.3,1435.0,81.5,918.0,9801719.0,3187.0,8.9,231.0,16.2,2.0,,,30.4,1.0,62.9,3.0,96.8,2.0,8.0,3424.0,46.8,916.0,1.0,18.0,1.6,311.0,9.3,976.0
Carson Widjaja,2018WIDJ01,1.0,659.0,4.0,26,,,0.4,4174.0,,,,,10.3,616.0,21.7,61.0,,,45.7,176.0,120.1,1289.0,233.2,2978.0,8.7,4272.0,45.0,745.0,2.3,1678.0,3.2,3492.0,6.3,168.0
Dylan Miller,2015MILL01,1.0,757.0,4.3,47,,,0.4,3036.0,,,,,9.2,283.0,23.4,179.0,,,50.0,429.0,145.6,2959.0,338.7,6994.0,17.4,13380.0,30.0,42.0,3.3,4959.0,2.0,666.0,38.5,13473.0
Kavin Prince,2023PRIN02,1.4,2127.0,4.8,172,,,,,,,,,14.9,4527.0,47.8,14837.0,,,,,,,,,,,,,5.5,17570.0,2.9,2435.0,,
Ayden Dincher,2022DINC01,0.9,434.0,5.0,206,136.4,3865.0,0.4,3389.0,,,,,10.1,537.0,23.8,223.0,,,47.8,273.0,93.0,239.0,173.6,807.0,3.3,184.0,47.1,953.0,1.4,199.0,1.1,28.0,5.9,117.0
Aaron Jake Wong,2021WONG02,0.7,107.0,5.0,224,,,,,,,,,11.8,1468.0,30.8,1948.0,,,56.4,1038.0,136.0,2307.0,277.3,4756.0,2.5,23.0,71.4,4377.0,1.9,914.0,3.6,4647.0,5.8,109.0
Parker Trager,2016TRAG01,0.6,76.0,5.3,338,68.3,1458.0,0.3,942.0,27.5,52.0,9202680.0,902.0,6.4,10.0,25.1,374.0,619.0,1042.0,49.9,419.0,108.1,693.0,170.5,728.0,3.9,426.0,40.1,383.0,0.9,9.0,1.4,116.0,5.9,127.0
Curtis Chai,2022CHAI02,0.7,146.0,5.4,400,,,0.4,3389.0,,,,,10.7,810.0,26.1,534.0,,,54.6,841.0,113.8,965.0,171.3,750.0,3.7,326.0,41.3,454.0,1.3,180.0,1.6,285.0,5.8,115.0
Jeffrey Chen,2023CHEJ07,1.0,700.0,5.6,584,,,,,,,,,14.4,3926.0,30.3,1715.0,,,68.5,3072.0,142.4,2750.0,243.6,3431.0,7.1,2554.0,57.7,2234.0,4.8,12559.0,4.4,8211.0,10.4,1358.0
Timothy Yang,2019YANT03,2.0,6852.0,5.7,597,,,,,,,,,10.6,732.0,26.0,529.0,,,57.6,1176.0,158.7,3891.0,354.9,7493.0,4.6,695.0,47.0,943.0,3.0,3776.0,5.3,12270.0,9.0,891.0
Matthew Liong,2023LION02,1.4,2649.0,5.9,832,189.8,5612.0,0.4,6451.0,,,,,14.8,4434.0,33.1,2981.0,,,62.9,1972.0,142.9,2769.0,344.7,7183.0,7.6,3026.0,32.6,84.0,3.2,4474.0,,,8.3,645.0
Max Chan,2015CHAN37,1.5,2874.0,6.0,927,589.2,10285.0,0.3,2696.0,,,,,12.8,2236.0,26.5,609.0,,,51.0,502.0,109.5,759.0,191.0,1330.0,7.2,2625.0,58.8,2380.0,1.6,482.0,3.3,3774.0,9.0,880.0
Levi Gibson,2018GIBS04,1.0,757.0,6.1,1023,159.5,4648.0,0.2,1.0,80.7,896.0,,,10.1,547.0,32.0,2427.0,,,65.6,2498.0,133.2,2094.0,245.6,3508.0,4.6,711.0,54.2,1791.0,1.7,587.0,2.2,1048.0,6.9,309.0
Margot Audero,2017MARR02,1.9,6192.0,6.2,1102,,,0.3,1435.0,69.1,675.0,,,13.5,2977.0,27.7,888.0,,,60.7,1628.0,131.9,2008.0,214.1,2159.0,7.6,2972.0,56.4,2076.0,4.0,7950.0,3.0,2837.0,15.4,3560.0
Ishan Donavalli,2022DONA04,1.8,5437.0,6.2,1139,,,,,,,,,8.8,213.0,36.1,4771.0,,,70.9,3584.0,163.0,4223.0,336.0,6905.0,4.6,739.0,68.8,3944.0,2.2,1465.0,2.9,2412.0,9.0,891.0
Andrew Xie,2015XIEA01,2.5,13217.0,6.3,1371,,,,,,,,,12.8,2256.0,27.0,726.0,,,61.1,1688.0,,,,,,,107.2,10893.0,4.1,8672.0,6.7,18787.0,,
Samuel Fang,2014FANG01,1.1,1004.0,6.4,1392,94.2,2376.0,0.3,2022.0,81.0,901.0,9701017.0,2566.0,12.2,1759.0,28.8,1212.0,724.0,1186.0,72.7,4052.0,132.8,2069.0,229.1,2813.0,5.4,1218.0,62.5,2920.0,1.6,437.0,2.6,1809.0,4.4,20.0
Benjamin Wiginton,2022WIGI01,1.9,6093.0,6.5,1758,,,,,,,,,12.9,2345.0,45.0,12180.0,,,170.3,25783.0,,,,,3.5,250.0,77.3,5399.0,3.5,5622.0,7.9,24972.0,9.3,976.0
Declan Wilhelm,2016WILH03,1.1,938.0,6.6,1784,166.8,4911.0,0.3,1435.0,,,,,11.2,1063.0,30.7,1890.0,,,67.0,2783.0,135.6,2273.0,227.7,2751.0,6.2,1833.0,33.7,109.0,3.2,4425.0,3.5,4515.0,9.9,1179.0
Anthony Jiang,2021JIAN07,2.0,7154.0,6.6,1784,,,0.6,9672.0,,,,,9.9,486.0,36.5,5084.0,,,85.2,7394.0,,,,,14.7,10943.0,96.2,8902.0,5.9,20446.0,4.8,9711.0,,
Arnav Kumar,2022KUMA32,2.0,6852.0,6.6,1945,,,,,,,,,19.2,11016.0,89.0,44963.0,,,,,,,,,10.6,6474.0,83.4,6532.0,2.6,2494.0,4.0,6353.0,,
Eric Hsu,2017HSUE02,1.5,3113.0,6.6,1966,,,0.4,3389.0,,,,,20.0,12399.0,39.2,7131.0,,,,,,,,,3.6,274.0,96.5,8969.0,3.0,3498.0,4.0,6310.0,9.9,1157.0
Anurag Anapindi,2022ANAP01,2.4,11310.0,6.7,1996,,,,,,,,,15.9,5860.0,46.0,13075.0,,,,,,,,,8.3,3832.0,,,2.6,2472.0,,,18.3,4958.0
Zachary Miller,2017MILL04,1.3,1922.0,6.9,2418,142.2,4081.0,0.3,1435.0,,,9700974.0,2531.0,11.2,1063.0,35.1,4107.0,,,81.3,6246.0,173.6,5007.0,310.4,5986.0,5.2,1027.0,70.1,4153.0,2.8,3160.0,2.1,766.0,12.1,2054.0
Kunaal Parekh,2013PARE01,2.3,10720.0,6.9,2564,87.8,2139.0,0.4,3787.0,110.9,1444.0,,,10.6,754.0,44.9,12101.0,,,106.7,13473.0,179.0,5397.0,,,21.4,16168.0,195.4,22686.0,9.0,49217.0,20.2,56128.0,10.2,1301.0
Evan Yao,2021YAOE02,2.0,6751.0,7.0,2605,339.2,8777.0,,,,,,,16.5,6724.0,31.1,2067.0,,,55.7,969.0,123.8,1504.0,198.7,1589.0,4.9,875.0,74.8,4991.0,3.8,6831.0,4.1,6730.0,9.7,1106.0
Adam Gradess,2014GRAD03,1.6,3480.0,7.1,2868,149.9,4330.0,0.4,6451.0,93.7,1154.0,,,13.7,3115.0,30.3,1730.0,2029.0,1771.0,58.3,1275.0,107.5,670.0,174.4,835.0,,,46.2,853.0,2.2,1532.0,5.2,11694.0,17.1,4358.0
Elvin Xu,2019XUEL02,1.7,4087.0,7.2,3311,63.8,1332.0,0.4,3389.0,,,9601200.0,1826.0,17.1,7525.0,29.6,1484.0,298.8,355.0,60.7,1614.0,112.0,889.0,161.3,514.0,9.0,4577.0,60.0,2555.0,6.2,22760.0,3.4,4168.0,47.1,15610.0
Henry Syn,2021SYNH01,1.9,6093.0,7.3,3518,,,,,,,,,13.0,2467.0,28.6,1165.0,,,54.9,874.0,114.0,980.0,176.0,874.0,15.5,11645.0,117.2,12470.0,6.0,21607.0,12.5,42507.0,,
Alex Tompa,2022TOMP01,1.4,2216.0,7.4,3628,,,,,,,,,22.4,16662.0,49.6,16510.0,,,117.2,16078.0,,,,,7.6,2972.0,71.0,4302.0,2.6,2443.0,5.1,11096.0,40.9,14108.0
Phil Yu,2010YUPH01,2.1,8315.0,7.6,4372,,,,,,,,,10.1,537.0,44.0,11186.0,,,,,,,,,,,,,6.3,24216.0,,,,
Steven Wintringham,2015WINT02,1.1,877.0,7.6,4372,551.9,10194.0,0.3,768.0,84.7,989.0,,,18.1,9117.0,38.8,6791.0,,,89.0,8448.0,184.9,5834.0,297.4,5478.0,5.1,978.0,83.8,6604.0,1.2,69.0,2.4,1250.0,16.2,3894.0
Matthew Joel Degala,2022DEGA01,2.0,6452.0,7.7,4673,,,0.4,4565.0,,,,,17.1,7602.0,33.8,3341.0,,,68.8,3133.0,,,,,7.2,2599.0,68.2,3840.0,2.8,2854.0,3.0,2687.0,16.2,3894.0
Yuki Nagai,2022NAGA02,1.6,3408.0,7.8,4926,109.1,2922.0,0.4,4174.0,,,,,14.1,3610.0,41.5,9033.0,,,77.4,5224.0,207.4,7417.0,,,3.3,184.0,59.2,2432.0,1.2,113.0,1.4,172.0,10.2,1301.0
Nina Ozsvath,2022OZSV03,1.1,1152.0,7.8,4970,,,0.6,10172.0,,,,,14.8,4451.0,33.5,3170.0,,,62.7,1934.0,108.0,688.0,191.9,1357.0,6.1,1703.0,85.0,6819.0,2.6,2543.0,3.8,5467.0,13.1,2469.0
Lucas Valencia,2024VALE11,2.0,6372.0,7.8,4970,,,,,,,,,26.2,23264.0,42.9,10235.0,,,213.7,30225.0,,,,,16.8,12877.0,137.4,15582.0,5.4,16830.0,5.7,14202.0,66.6,18771.0
Eli Rogers,2022ROGE05,0.8,250.0,7.8,5133,114.7,3126.0,0.3,768.0,,,9701142.0,2639.0,16.8,7066.0,37.9,6100.0,1299.0,1654.0,81.0,6164.0,176.5,5211.0,286.6,5091.0,4.5,670.0,78.5,5615.0,2.1,1242.0,2.9,2497.0,12.6,2258.0
Vihaan Cherukuri,2021CHER06,,,7.9,5329,,,,,,,,,19.5,11587.0,,,,,,,,,,,,,,,,,,,,
Ledger Ramirez,2022RAMI15,1.6,3797.0,8.2,6760,173.8,5137.0,0.4,3036.0,,,,,18.0,8942.0,32.9,2846.0,,,72.2,3929.0,144.0,2845.0,236.0,3086.0,3.8,379.0,72.9,4636.0,2.1,1311.0,2.7,1905.0,12.5,2199.0
Ryan Hughes,2022HUGH04,1.2,1257.0,8.2,6807,135.2,3836.0,,,,,,,16.5,6699.0,40.4,8026.0,,,79.4,5725.0,166.2,4472.0,320.9,6378.0,4.0,439.0,70.2,4175.0,1.6,424.0,1.3,105.0,6.3,166.0
Tamar Ozsvath,2022OZSV04,1.9,6093.0,8.4,7714,,,0.6,9797.0,,,,,14.8,4379.0,33.1,2961.0,,,71.1,3649.0,134.1,2162.0,216.0,2243.0,3.0,108.0,56.2,2043.0,1.6,507.0,3.5,4547.0,12.4,2175.0
Gabriel Frahm,2024FRAH01,1.5,2706.0,8.5,8092,,,,,,,,,30.2,29568.0,39.8,7624.0,,,77.7,5297.0,180.3,5503.0,266.4,4309.0,10.6,6483.0,108.1,11034.0,5.3,16081.0,2.9,2605.0,14.0,2859.0
Kyle Nguyen,2017NGUY18,1.7,4538.0,8.5,8176,156.5,4556.0,,,133.1,1786.0,,,17.0,7377.0,41.7,9223.0,,,94.9,10226.0,,,,,11.9,8055.0,50.8,1361.0,4.5,10525.0,10.5,35864.0,,
Matthew Mayernik,2018MAYE01,1.6,3594.0,8.5,8221,,,,,,,,,28.9,27651.0,59.4,25070.0,,,,,,,,,,,,,3.2,4277.0,27.9,60254.0,,
Ethan Qiu,2022QIUE03,2.1,7937.0,8.7,8834,,,,,,,,,23.5,18584.0,36.7,5215.0,,,76.0,4894.0,153.0,3477.0,240.9,3311.0,5.8,1463.0,64.9,3273.0,3.2,4474.0,3.2,3465.0,14.9,3302.0
Isaac Wiginton,2022WIGI02,1.9,6192.0,8.7,9152,,,,,,,,,23.3,18206.0,73.6,35711.0,,,177.6,26696.0,,,,,12.8,9011.0,175.8,20706.0,3.9,7702.0,4.6,9084.0,34.7,12232.0
Michael Miloslavskiy,2023MILO01,1.6,3877.0,8.9,9959,115.9,3180.0,,,,,,,20.1,12479.0,53.3,19825.0,,,109.0,14036.0,268.7,10527.0,362.0,7706.0,10.2,6127.0,70.9,4283.0,3.6,6046.0,2.6,1761.0,21.9,6704.0
Charles Darrington,2019DARR02,2.1,7489.0,8.9,10119,179.8,5308.0,0.4,5696.0,,,9801401.0,3068.0,19.1,10886.0,38.5,6517.0,,,78.8,5576.0,157.0,3759.0,253.2,3792.0,4.2,534.0,73.2,4696.0,3.6,6217.0,3.1,3006.0,16.6,4111.0
Nathan Kon,2024KONN01,1.1,1107.0,9.0,10778,,,,,,,,,18.7,10115.0,42.8,10171.0,,,86.8,7837.0,194.6,6540.0,297.0,5469.0,10.1,5905.0,98.4,9326.0,2.6,2443.0,2.8,2162.0,14.2,2946.0
